id,name,db,collection
bbe480e2a7f7,baseline-ts-travel-mongo-1,ts,trip
02c3ef01c0a3,baseline-ts-config-mongo-1,ts,config
5750f4ea31e3,baseline-ts-travel2-mongo-1,ts,trip
9c35ed4eb306,baseline-ts-assurance-mongo-1,ts,assurance
9872fb6e71d7,baseline-ts-rebook-mongo-1,ts,
a430fa215b38,baseline-ts-consign-price-mongo-1,ts,consign_price
8fc3cc753cc6,baseline-ts-station-mongo-1,ts,station
3a07872f68e2,baseline-ts-train-mongo-1,ts,trainType
622ba5ce3851,baseline-ts-ticket-office-mongo-1,ticket-office,office
030d9e0dd407,baseline-ts-contacts-mongo-1,ts,contacts
4b5cc0ef5b0d,baseline-ts-food-map-mongo-1,ts,[stores,trainFood]
e32b428ff335,baseline-ts-security-mongo-1
aea6d197159a,baseline-ts-user-mongo-1
63a6b698111f,baseline-ts-auth-mongo-1
6271fbc0e769,baseline-ts-route-mongo-1
4da85799face,baseline-ts-consign-mongo-1,ts,consign_record
a055ed1e8576,baseline-ts-price-mongo-1,ts,price_config
2ee44c741fef,baseline-ts-food-mongo-1,ts,foodorder
31c9bd983bee,baseline-ts-news-mongo-1,ts,
96f12bd72d0c,baseline-ts-order-other-mongo-1,ts,orders
3ab16bbc47e6,baseline-ts-payment-mongo-1,ts,payment
cf6f2f17dc30,baseline-ts-order-mongo-1,ts,payment
6b9f13dff23d,baseline-ts-account-mongo-1,ts,
48c02657c809,baseline-ts-inside-payment-mongo-1,ts,[addMoney,payment]
