source,destination
145.108.225.16,145.108.225.7
145.108.225.16,172.19.0.56
172.19.0.56,172.19.0.64
172.19.0.64,172.19.0.49
172.19.0.56,172.19.0.49
172.19.0.56,172.19.0.10
172.19.0.10,172.19.0.14
172.19.0.14,172.19.0.38
172.19.0.38,172.19.0.16
172.19.0.10,172.19.0.9
172.19.0.38,172.19.0.44
172.19.0.38,172.19.0.9
172.19.0.38,172.19.0.3
172.19.0.10,172.19.0.8
172.19.0.10,172.19.0.58
172.19.0.58,172.19.0.8
172.19.0.10,172.19.0.44
172.19.0.58,172.19.0.68
172.19.0.56,172.19.0.34
172.19.0.56,172.19.0.25
172.19.0.56,172.19.0.65
172.19.0.65,172.19.0.57
172.19.0.65,172.19.0.10
172.19.0.65,172.19.0.16
172.19.0.56,172.19.0.32
172.19.0.32,172.19.0.43
172.19.0.43,172.19.0.8
172.19.0.43,172.19.0.15
172.19.0.32,172.19.0.25
172.19.0.32,172.19.0.10
172.19.0.32,172.19.0.16
172.19.0.32,172.19.0.14
172.19.0.32,172.19.0.58
172.19.0.32,172.19.0.8
172.19.0.32,172.19.0.34
172.19.0.32,172.19.0.65
172.19.0.32,172.19.0.24
172.19.0.24,172.19.0.2
172.19.0.32,172.19.0.17
