source,destination
145.108.225.16,145.108.225.7
145.108.225.16,ui
ui,auth
auth,verification-code
ui,verification-code
ui,travel
travel,ticketinfo
ticketinfo,basic
basic,station
travel,route
basic,train
basic,route
basic,price
travel,order
travel,seat
seat,order
travel,train
seat,config
ui,assurance
ui,contacts
ui,food
food,food-map
food,travel
food,station
ui,preserve
preserve,security
security,order
security,order-other
preserve,contacts
preserve,travel
preserve,station
preserve,ticketinfo
preserve,seat
preserve,order
preserve,assurance
preserve,food
preserve,consign
consign,consign-price
preserve,user
