,ip,container
1,172.19.0.60,baseline-ts-notification-service-1
2,172.19.0.66,baseline-ts-inside-payment-service-1
3,172.19.0.7,baseline-ts-travel-mongo-1
4,172.19.0.64,baseline-ts-auth-service-1
5,172.19.0.21,baseline-ts-news-service-1
6,172.19.0.61,baseline-ts-preserve-other-service-1
7,172.19.0.63,baseline-ts-config-mongo-1
8,172.19.0.17,baseline-ts-user-service-1
9,172.19.0.35,baseline-ts-travel2-mongo-1
10,172.19.0.5,baseline-ts-assurance-mongo-1
11,172.19.0.11,baseline-ts-rebook-mongo-1
12,172.19.0.30,baseline-ts-admin-route-service-1
13,172.19.0.65,baseline-ts-food-service-1
14,172.19.0.12,baseline-ts-voucher-mysql-1
15,172.19.0.67,baseline-ts-avatar-service-1
16,172.19.0.27,baseline-ts-execute-service-1
17,172.19.0.9,baseline-ts-route-service-1
18,172.19.0.37,baseline-ts-route-plan-service-1
19,172.19.0.25,baseline-ts-contacts-service-1
20,172.19.0.41,baseline-ts-consign-price-mongo-1
21,172.19.0.26,baseline-ts-station-mongo-1
22,172.19.0.68,baseline-ts-config-service-1
23,172.19.0.40,baseline-ts-train-mongo-1
24,172.19.0.13,baseline-ts-ticket-office-mongo-1
25,172.19.0.6,baseline-ts-contacts-mongo-1
26,172.19.0.23,baseline-ts-admin-user-service-1
27,172.19.0.33,baseline-ts-admin-order-service-1
28,172.19.0.42,baseline-ts-food-map-mongo-1
29,172.19.0.36,baseline-rabbitmq-1
30,172.19.0.48,baseline-ts-ticket-office-service-1
31,172.19.0.44,baseline-ts-train-service-1
32,172.19.0.8,baseline-ts-order-service-1
33,172.19.0.4,baseline-ts-travel2-service-1
34,172.19.0.3,baseline-ts-price-service-1
35,172.19.0.47,baseline-ts-travel-plan-service-1
36,172.19.0.29,baseline-ts-admin-basic-info-service-1
37,172.19.0.16,baseline-ts-station-service-1
38,172.19.0.28,baseline-ts-security-mongo-1
39,172.19.0.49,baseline-ts-verification-code-service-1
40,172.19.0.18,baseline-ts-user-mongo-1
41,172.19.0.53,baseline-ts-admin-travel-service-1
42,172.19.0.55,baseline-ts-auth-mongo-1
43,172.19.0.51,baseline-ts-route-mongo-1
44,172.19.0.58,baseline-ts-seat-service-1
45,172.19.0.14,baseline-ts-ticketinfo-service-1
46,172.19.0.19,baseline-ts-consign-mongo-1
47,172.19.0.31,baseline-redis-1
48,172.19.0.32,baseline-ts-preserve-service-1
49,172.19.0.20,baseline-ts-price-mongo-1
50,172.19.0.56,baseline-ts-ui-dashboard-1
51,172.19.0.69,baseline-ts-payment-service-1
52,172.19.0.50,baseline-ts-food-mongo-1
53,172.19.0.39,baseline-ts-rebook-service-1
54,172.19.0.54,baseline-ts-news-mongo-1
55,172.19.0.38,baseline-ts-basic-service-1
56,172.19.0.34,baseline-ts-assurance-service-1
57,172.19.0.62,baseline-ts-order-other-mongo-1
58,172.19.0.24,baseline-ts-consign-service-1
59,172.19.0.46,baseline-ts-payment-mongo-1
60,172.19.0.57,baseline-ts-food-map-service-1
61,172.19.0.45,baseline-ts-order-mongo-1
62,172.19.0.10,baseline-ts-travel-service-1
63,172.19.0.52,baseline-ts-account-mongo-1
64,172.19.0.15,baseline-ts-order-other-service-1
65,172.19.0.22,baseline-ts-inside-payment-mongo-1
66,172.19.0.59,baseline-ts-cancel-service-1
67,172.19.0.2,baseline-ts-consign-price-service-1
68,172.19.0.43,baseline-ts-security-service-1
